# Input,ChemicalName,ChemicalId,CasRN,GeneSymbol,GeneId,Organism,OrganismId,PubMedIds
13463-67-7,titanium dioxide,C009495,13463-67-7,ITIH3,3699,Rattus norvegicus,10116,30012374
13463-67-7,titanium dioxide,C009495,13463-67-7,ITIH4,3700,Mus musculus,10090,19464567|23557971|27760801|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ITIH5,80760,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,ITK,3702,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,ITM2B,9445,Mus musculus,10090,27760801|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ITM2C,81618,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ITPA,3704,Mus musculus,10090,27760801|29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ITPK1,3705,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ITPKA,3706,Mus musculus,10090,23557971|29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ITPKB,3707,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ITPKC,80271,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ITPR3,3710,Mus musculus,10090,29950665
13463-67-7,titanium dioxide,C009495,13463-67-7,ITPRID1,223075,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,ITPRID1,223075,Rattus norvegicus,10116,28181387|30012374
13463-67-7,titanium dioxide,C009495,13463-67-7,ITPRIP,85450,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ITPRIPL2,162073,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ITSN1,6453,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,IVD,3712,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,IVNS1ABP,10625,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,IWS1,55677,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,IZUMO1,284359,Mus musculus,10090,29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,IZUMO2,126123,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,IZUMO4,113177,Mus musculus,10090,27760801|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JADE1,79960,Mus musculus,10090,23557971|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JADE2,23338,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JAG1,182,Mus musculus,10090,23557971|29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JAGN1,84522,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JAK2,3717,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JAK3,3718,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JAKMIP1,152789,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JAKMIP3,282973,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JAM2,58494,Mus musculus,10090,29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JAM3,83700,Mus musculus,10090,29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JAML,120425,Mus musculus,10090,23557971|29950665
13463-67-7,titanium dioxide,C009495,13463-67-7,JARID2,3720,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JCHAIN,3512,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,JCHAIN,3512,Rattus norvegicus,10116,30012374
13463-67-7,titanium dioxide,C009495,13463-67-7,JDP2,122953,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JKAMP,51528,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JMJD4,65094,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JMJD6,23210,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JMJD7,100137047,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JOSD1,9929,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JPH1,56704,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JPH2,57158,Mus musculus,10090,23557971|35295148
