# Input,GeneSymbol,GoTermID
bmp7,BMP7,"GO:1905069, GO:0036305, GO:0048646, GO:0009887, GO:0007411, GO:0030509, GO:0060445, GO:0048754, GO:0048593, GO:0048738, GO:0060411, GO:0051216, GO:0048468, GO:0008283, GO:0071773, GO:0071456, GO:0060710, GO:0016358, GO:0048596, GO:0030326, GO:0009880, GO:0060272, GO:0003272, GO:0030855, GO:0001837, GO:0001654, GO:0061384, GO:0030902, GO:0001822, GO:1901145, GO:0048762, GO:0060485, GO:0001707, GO:0001823, GO:0072136, GO:0072133, GO:0001656, GO:0070487, GO:0045786, GO:0008285, GO:0045892, GO:0072125, GO:0072040, GO:0045839, GO:0050768, GO:0045665, GO:0032088, GO:1901223, GO:0045746, GO:0060686, GO:0010664, GO:0072134, GO:0021502, GO:0048812, GO:0042475, GO:0001649, GO:0007389, GO:0003344, GO:0060037, GO:0043065, GO:0030501, GO:0090336, GO:1905312, GO:1900006, GO:0045893, GO:0030858, GO:0010718, GO:0010628, GO:0034116, GO:1900106, GO:0045666, GO:0045669, GO:0060391, GO:0045944, GO:0060687, GO:0042325, GO:2000121, GO:0032355, GO:0043434, GO:0033280, GO:0007435, GO:0001501, GO:0060395, GO:0035239, GO:0001657"
bscl2,BSCL2,"GO:0060612, GO:0008150, GO:0098703, GO:0007417, GO:0007268, GO:0051276, GO:0061725, GO:0008340, GO:0045444, GO:0010467, GO:0001942, GO:0016042, GO:0140042, GO:0034389, GO:0006629, GO:0019915, GO:0051651, GO:0007005, GO:0035264, GO:0043086, GO:0050995, GO:0120162, GO:0072593, GO:1905693, GO:0022904, GO:0048741, GO:0001501, GO:0048515, GO:0001894"
bst1,BST1,"GO:0008150, GO:0006959, GO:0030890, GO:0008284, GO:0032956, GO:0050848, GO:0001952, GO:0002691, GO:0050727, GO:2001044, GO:0090022, GO:0050730, GO:0090322, GO:0007165"
btd,BTD,"GO:0035288, GO:0006768, GO:0007417, GO:0007376, GO:0007480, GO:0000122, GO:0045944, GO:0035289, GO:1902692, GO:0045664, GO:0006357"
c1qb,C1QB,"GO:0006956, GO:0006958, GO:0006955, GO:0045087, GO:0048839, GO:0051384, GO:0098883"
c2cd4a,C2CD4A,"GO:0031018, GO:1990798, GO:0002675, GO:0030155, GO:0002528, GO:0003323"
c2cd4b,C2CD4B,"GO:0002675, GO:0030155, GO:0002528"
c3,C3,"GO:0097242, GO:0042113, GO:0006935, GO:0006956, GO:0006957, GO:0006958, GO:0097278, GO:0150062, GO:0002430, GO:0006631, GO:0007186, GO:0006955, GO:0006954, GO:0045087, GO:0060384, GO:0016322, GO:0035846, GO:0001970, GO:0045766, GO:2000427, GO:0048639, GO:0070374, GO:0010828, GO:0045745, GO:0010884, GO:0050766, GO:0060100, GO:0001934, GO:0048260, GO:0001798, GO:0010575, GO:0010866, GO:0009617, GO:0032355, GO:0043627, GO:0051384, GO:0032026, GO:0032570, GO:0009410, GO:0060041, GO:0007165, GO:0002507, GO:0035886, GO:0150064"
cacna1c,CACNA1C,"GO:0007628, GO:0061564, GO:0070509, GO:0098703, GO:0017156, GO:0070588, GO:0061577, GO:0006816, GO:0060402, GO:0043010, GO:0061337, GO:0086002, GO:0086064, GO:0086065, GO:0006874, GO:1904646, GO:0021987, GO:0007268, GO:0022038, GO:0048701, GO:0035115, GO:0051649, GO:0006887, GO:0042593, GO:0030252, GO:0007507, GO:0001947, GO:0003007, GO:0002520, GO:0030073, GO:0001822, GO:0098912, GO:0086045, GO:0086012, GO:0034220, GO:0006811, GO:0021554, GO:0003301, GO:0045762, GO:1904879, GO:0007204, GO:0032024, GO:1904181, GO:0045933, GO:0008217, GO:0010881, GO:0008016, GO:0086091, GO:0046620, GO:0019229, GO:0098911, GO:0097305, GO:0031667, GO:0006939, GO:0060083, GO:0055085, GO:0008542"
cacna2d2,CACNA2D2,"GO:0070588, GO:0006816, GO:0055001, GO:0007528, GO:0035265, GO:0046622, GO:0040014, GO:0098696, GO:0006890, GO:0060024"
cadps2,CADPS2,"GO:0009267, GO:1990504, GO:0006887, GO:0061484, GO:0045921, GO:0015031, GO:0016079, GO:0016082"
calb1,CALB1,"GO:0090102, GO:0007611, GO:0007626, GO:0007616, GO:0072205, GO:0072286, GO:0072221, GO:0035502, GO:1900271, GO:0099566, GO:0099509, GO:0048167, GO:0010996, GO:0060041, GO:0010842, GO:0007614, GO:0042359"
calca,CALCA,"GO:0007190, GO:0032147, GO:0007189, GO:0150059, GO:0150060, GO:0019731, GO:0019732, GO:0061844, GO:0001984, GO:0097646, GO:1990408, GO:0055074, GO:0007155, GO:0007267, GO:0006874, GO:1990090, GO:0071356, GO:0055064, GO:0050829, GO:0050830, GO:0050965, GO:0007566, GO:0043542, GO:0001935, GO:0007631, GO:0002031, GO:0006954, GO:0045087, GO:0007159, GO:0002548, GO:0045776, GO:0045779, GO:0010523, GO:0045892, GO:0030279, GO:0045671, GO:0045986, GO:0001976, GO:0007218, GO:0001503, GO:0007200, GO:0045785, GO:0007204, GO:0032730, GO:0032757, GO:0045651, GO:0006468, GO:0031623, GO:0008217, GO:0051480, GO:0009408, GO:0048265, GO:0001878, GO:0007165, GO:0006939, GO:0048240, GO:0001944, GO:0042311"
canx,CANX,"GO:0072583, GO:0048916, GO:0006457, GO:0034975, GO:0009306, GO:0048488, GO:0019082"
cap1,CAP1,"GO:0030036, GO:0007015, GO:0007190, GO:0001667, GO:0008150, GO:0019933, GO:0000902, GO:0007010, GO:0007163, GO:0006886, GO:0008078, GO:0098885, GO:0006898, GO:0045761, GO:0007165, GO:0001756"
car3,CAR3,"GO:0071456, GO:0032869, GO:0044320, GO:0097421, GO:0043066, GO:1903751, GO:1903427, GO:0008284, GO:0097305, GO:0009617, GO:0045471, GO:0033993, GO:0006979, GO:0003009"
casp1,CASP1,"GO:0048513, GO:0006915, GO:0071222, GO:0071260, GO:0071346, GO:0140447, GO:0042742, GO:0050829, GO:0051607, GO:0046456, GO:0032610, GO:0032611, GO:0030324, GO:0010934, GO:0060081, GO:0007613, GO:0001774, GO:0007494, GO:0051882, GO:0007520, GO:0007231, GO:0002221, GO:0043065, GO:0046010, GO:0001819, GO:0043123, GO:0050729, GO:0032741, GO:0032730, GO:0032731, GO:0060907, GO:1903265, GO:0097300, GO:0016540, GO:0051604, GO:0016485, GO:0006508, GO:0070269, GO:0042981, GO:0010506, GO:0050727, GO:0033198, GO:0009617, GO:0001666, GO:0032496, GO:1901562, GO:0009636, GO:0009410, GO:0140448, GO:0007165, GO:0048731"
casp3,CASP3,"GO:0061713, GO:0006915, GO:0097190, GO:0007413, GO:0001782, GO:0045165, GO:0006974, GO:0072734, GO:1904019, GO:0030218, GO:0097194, GO:0044346, GO:0034349, GO:0007507, GO:0021766, GO:0035556, GO:0097193, GO:0070059, GO:0008627, GO:0030216, GO:0007611, GO:0071887, GO:0001554, GO:0032981, GO:0046007, GO:0043066, GO:0030889, GO:0045786, GO:0045736, GO:0001818, GO:0051402, GO:0030182, GO:0048011, GO:0030220, GO:1902004, GO:0043065, GO:0043525, GO:0140639, GO:0030163, GO:0051604, GO:0016485, GO:0006508, GO:0070269, GO:0016241, GO:0031647, GO:0098693, GO:0043200, GO:0072347, GO:0010996, GO:0032025, GO:0032355, GO:0051384, GO:0009749, GO:0042542, GO:0001666, GO:0032496, GO:0010038, GO:0035094, GO:0034612, GO:0009411, GO:0009611, GO:0009410, GO:0010165, GO:0007605, GO:0051146, GO:0043029"
casp8,CASP8,"GO:0001525, GO:0006915, GO:0097190, GO:0042113, GO:0048738, GO:0071260, GO:0097194, GO:0097191, GO:0008625, GO:0007507, GO:0097284, GO:0006955, GO:0030225, GO:0030101, GO:0070266, GO:1902042, GO:0043124, GO:0060546, GO:0001841, GO:0052151, GO:0043065, GO:0030335, GO:1900119, GO:2001238, GO:0043123, GO:0032731, GO:0045651, GO:0043525, GO:0045862, GO:0045048, GO:0051604, GO:0016485, GO:0006508, GO:0051603, GO:0070269, GO:0042981, GO:2001233, GO:0001817, GO:0045088, GO:0070243, GO:0010803, GO:0072347, GO:0010996, GO:0032025, GO:0032355, GO:0045471, GO:0032496, GO:0034612, GO:0097264, GO:0060715, GO:0042110, GO:0036462"
cast,CAST,"GO:0031100, GO:0007343, GO:0006426, GO:0097340, GO:0001889, GO:0045445, GO:0007520, GO:0043086, GO:0010466, GO:2000675, GO:1990709, GO:0030163, GO:0042176, GO:0014732"
cat,CAT,"GO:0009060, GO:0061692, GO:0098869, GO:0071363, GO:0008203, GO:0008340, GO:0003007, GO:0020027, GO:0042744, GO:0036335, GO:0001822, GO:0043066, GO:0032088, GO:0038001, GO:0051781, GO:0051092, GO:0051897, GO:0072593, GO:0035206, GO:0048167, GO:0014823, GO:0072722, GO:0010996, GO:0046686, GO:0046688, GO:0034976, GO:0032355, GO:0045471, GO:0070542, GO:0042542, GO:0055093, GO:0001666, GO:0014854, GO:0032868, GO:0033591, GO:0010288, GO:0009642, GO:0006979, GO:0010193, GO:0080184, GO:0000302, GO:0009636, GO:0009411, GO:0033189, GO:0033197, GO:0009410, GO:0006641, GO:0001657, GO:0009650"
cav1,CAV1,"GO:0001525, GO:0038166, GO:0031100, GO:0097190, GO:0071711, GO:0055074, GO:0006816, GO:0060070, GO:0060038, GO:0061026, GO:0070836, GO:0072584, GO:0030154, GO:0008283, GO:0006874, GO:0033484, GO:0071360, GO:0071455, GO:0071456, GO:0071260, GO:0071218, GO:0071375, GO:0009267, GO:0071560, GO:0090398, GO:0033344, GO:0042632, GO:0030301, GO:0019221, GO:0009953, GO:0006897, GO:0001935, GO:0051649, GO:0048144, GO:0002067, GO:0007507, GO:0038016, GO:0007595, GO:0019915, GO:0032507, GO:0030879, GO:0060056, GO:0000165, GO:0051899, GO:0046785, GO:0046716, GO:2000811, GO:0030514, GO:1905949, GO:0090090, GO:2001258, GO:0008285, GO:0001960, GO:0001937, GO:0030857, GO:0070373, GO:0048147, GO:1903609, GO:0043409, GO:0043407, GO:0010656, GO:0060546, GO:0045665, GO:0045019, GO:0051001, GO:0033137, GO:1900085, GO:0048550, GO:1901380, GO:0061099, GO:0031397, GO:0046426, GO:0009968, GO:0014912, GO:0048662, GO:0000122, GO:0042532, GO:1904706, GO:0048884, GO:0006809, GO:0046209, GO:0060036, GO:0010524, GO:0043085, GO:0060355, GO:0030335, GO:0010875, GO:0120162, GO:0045807, GO:0001938, GO:1904294, GO:2001238, GO:1903598, GO:0010628, GO:0043123, GO:2001244, GO:0031116, GO:0033138, GO:0031398, GO:0009967, GO:0034141, GO:0045907, GO:0010608, GO:0008104, GO:1903361, GO:0044860, GO:0015031, GO:0031623, GO:0019065, GO:0030193, GO:0098909, GO:1901844, GO:0051480, GO:0050688, GO:2000535, GO:0019217, GO:0086091, GO:0098903, GO:0052547, GO:1900027, GO:0006940, GO:0002026, GO:0003057, GO:0060338, GO:0098911, GO:0009617, GO:0051592, GO:0043627, GO:0010332, GO:0051384, GO:0001666, GO:0002931, GO:0009612, GO:0007584, GO:0032570, GO:0009410, GO:0007519, GO:0001756, GO:0031295, GO:0006641, GO:0007260, GO:0001570, GO:0042310, GO:0016050"
cbl,CBL,"GO:0045453, GO:0007166, GO:0006974, GO:0071456, GO:1990090, GO:0036120, GO:0019221, GO:0060216, GO:0009950, GO:0008069, GO:0009953, GO:0001754, GO:0048134, GO:0007476, GO:0008584, GO:0043303, GO:0043066, GO:0007175, GO:0042059, GO:0070373, GO:0032353, GO:0045746, GO:0043065, GO:1903688, GO:0045742, GO:0051897, GO:0048260, GO:0051865, GO:0006513, GO:0006468, GO:0000209, GO:0016567, GO:0007465, GO:0006109, GO:0042127, GO:2000583, GO:0032487, GO:0023051, GO:0014823, GO:0045471, GO:0010332, GO:0042594, GO:0033574, GO:0007165, GO:0070086, GO:0006511, GO:0046718"
cbs,CBS,"GO:0097746, GO:0001974, GO:0060351, GO:0071456, GO:0021587, GO:0019344, GO:0006535, GO:0019343, GO:0006534, GO:0008340, GO:0042262, GO:0001958, GO:0043418, GO:0050667, GO:0070814, GO:0019448, GO:0006565, GO:0006563, GO:0060135, GO:0043066, GO:0046328, GO:0010749, GO:0051593, GO:0031667, GO:0009069, GO:0044272, GO:0006801, GO:0019346"
ccdc80,CCDC80,"GO:0030198, GO:0006334, GO:0010811, GO:0003073, GO:0009617, GO:0001756"
ccdc92,CCDC92,"GO:0008150, GO:0045087, GO:0050688"
cck,CCK,"GO:0006309, GO:0007409, GO:0071347, GO:0071356, GO:0071346, GO:0070098, GO:0038188, GO:0007586, GO:0042755, GO:0007186, GO:0006955, GO:0006954, GO:0048247, GO:0007613, GO:0051882, GO:0002548, GO:0032099, GO:2000986, GO:1903999, GO:0001764, GO:0030593, GO:0007200, GO:0043065, GO:2000987, GO:0008284, GO:0070374, GO:0014049, GO:0043547, GO:0051901, GO:1902279, GO:0050731, GO:0031334, GO:0001836, GO:0007165, GO:0099538, GO:0008542"
ccl11,CCL11,"GO:0007015, GO:0061844, GO:0060444, GO:0007155, GO:0006874, GO:0071347, GO:0071356, GO:0071346, GO:0070098, GO:0006935, GO:0002544, GO:0007010, GO:0048245, GO:0070371, GO:0007186, GO:0006955, GO:0006954, GO:0031640, GO:0007611, GO:0048247, GO:0060763, GO:0002551, GO:0002548, GO:0050768, GO:0030593, GO:0030838, GO:0045766, GO:0030335, GO:0001938, GO:0070374, GO:0043547, GO:0006468, GO:0008360, GO:0035962, GO:0070670, GO:0009314, GO:0009615, GO:0007165"
ccl12,CCL12,"GO:0001525, GO:0061844, GO:0043615, GO:0006816, GO:0007267, GO:0006874, GO:0019221, GO:0007010, GO:0048245, GO:0006887, GO:0006955, GO:0006954, GO:0048246, GO:0002548, GO:0044828, GO:2000134, GO:0034351, GO:0070664, GO:2000502, GO:0043524, GO:1905563, GO:0090280, GO:2000353, GO:0002687, GO:0008360, GO:0007165"
ccl17,CCL17,"GO:0061844, GO:0008150, GO:0007267, GO:0060326, GO:0006968, GO:0071347, GO:0071356, GO:0071346, GO:0070098, GO:0006935, GO:0007186, GO:0006955, GO:0006954, GO:0031640, GO:0048247, GO:0002548, GO:0045662, GO:0030593, GO:0070374, GO:0043547, GO:0007165"
ccl19,CCL19,"GO:0061844, GO:0007154, GO:0048469, GO:0006874, GO:0071347, GO:0071356, GO:0071346, GO:0098586, GO:0070098, GO:0002407, GO:0001768, GO:0007186, GO:0006955, GO:0001771, GO:0006954, GO:0031640, GO:0048247, GO:0097029, GO:0002548, GO:0002408, GO:2000669, GO:0030593, GO:2000147, GO:0050921, GO:0002606, GO:2000549, GO:0045807, GO:0070374, GO:0010560, GO:0043547, GO:0043123, GO:0032735, GO:0032731, GO:0046330, GO:0043507, GO:0090023, GO:1901224, GO:0045860, GO:0051897, GO:0048260, GO:0042102, GO:0045627, GO:0032760, GO:0060491, GO:0051209, GO:0071731, GO:0034695, GO:0009615, GO:0007165, GO:0031295"
ccl2,CCL2,"GO:0001525, GO:0009887, GO:0031100, GO:0043615, GO:0007155, GO:0007166, GO:0006874, GO:0019725, GO:0071318, GO:0071549, GO:0071392, GO:0071398, GO:0044344, GO:0071333, GO:0071403, GO:0032869, GO:0071347, GO:0071354, GO:0071222, GO:0071402, GO:0036006, GO:0036120, GO:0071300, GO:0071356, GO:0071346, GO:0071466, GO:0038148, GO:0070098, GO:0042466, GO:0006935, GO:0002544, GO:0019221, GO:0007010, GO:0048245, GO:0008347, GO:0007186, GO:0007187, GO:0035684, GO:0006959, GO:0006955, GO:0006954, GO:0002523, GO:0048247, GO:0048246, GO:0060056, GO:0060135, GO:0060137, GO:0002548, GO:0035702, GO:0016525, GO:2000134, GO:0034351, GO:2000502, GO:0043524, GO:1905563, GO:0030593, GO:0050918, GO:2000427, GO:0090280, GO:0045785, GO:0022409, GO:0002693, GO:0032967, GO:2000353, GO:0001938, GO:0070374, GO:0010628, GO:0043547, GO:0090265, GO:0001912, GO:0002687, GO:0010759, GO:0090026, GO:1904783, GO:0090314, GO:0050806, GO:0051968, GO:0050870, GO:0032760, GO:0090303, GO:0006468, GO:0007259, GO:0008360, GO:0010574, GO:0014823, GO:0043200, GO:0009617, GO:1905237, GO:0045471, GO:0010332, GO:0051384, GO:0001666, GO:0035900, GO:0032496, GO:0009612, GO:0032570, GO:0034612, GO:0033552, GO:0009611, GO:0009410, GO:0019233, GO:0007165, GO:0007179, GO:0048010, GO:0019079"
ccl20,CCL20,"GO:0061844, GO:0019722, GO:0007267, GO:0060326, GO:0071347, GO:0071222, GO:0071223, GO:0071356, GO:0071346, GO:0070098, GO:0006935, GO:0042742, GO:0007186, GO:0006955, GO:0006954, GO:0031640, GO:0048247, GO:0002548, GO:0030593, GO:0070374, GO:0043547, GO:0032730, GO:2000406, GO:0007165, GO:0072678, GO:0072679"
ccl24,CCL24,"GO:0008150, GO:0007267, GO:0071347, GO:0071356, GO:0071346, GO:0070098, GO:0006935, GO:0007010, GO:0048245, GO:0007186, GO:0006955, GO:0006954, GO:0048247, GO:0002548, GO:0030593, GO:0030838, GO:0045766, GO:0030335, GO:0001938, GO:2000418, GO:0070374, GO:0043547, GO:0050729, GO:0008360, GO:0007165"
ccl3,CCL3,"GO:0043615, GO:0006816, GO:0019722, GO:0001775, GO:0007267, GO:0006874, GO:0071347, GO:0071356, GO:0071346, GO:0070098, GO:0006935, GO:0007010, GO:0048245, GO:0043308, GO:0006887, GO:0007186, GO:0071621, GO:0006955, GO:0006954, GO:0030595, GO:0048247, GO:0048246, GO:0000165, GO:0002548, GO:0043922, GO:0030502, GO:0010629, GO:0045671, GO:0030593, GO:0001649, GO:0050918, GO:0090280, GO:0051928, GO:0050850, GO:0030335, GO:0007204, GO:0070374, GO:0010628, GO:0043547, GO:0050729, GO:0032731, GO:1903980, GO:1904141, GO:2000503, GO:0043525, GO:0045672, GO:0051897, GO:0045944, GO:0032760, GO:0006468, GO:0050795, GO:0008360, GO:0043067, GO:0051930, GO:0014808, GO:0070723, GO:0009636, GO:0009410, GO:0023052, GO:0010818"
ccl4,CCL4,"GO:0007155, GO:0007267, GO:0060326, GO:0071347, GO:0071356, GO:0071346, GO:0071466, GO:0070098, GO:0006935, GO:0007163, GO:0007186, GO:0006955, GO:0006954, GO:0030595, GO:0048247, GO:0002548, GO:0043922, GO:0030593, GO:0051928, GO:0050850, GO:0070374, GO:0043547, GO:2000503, GO:0032760, GO:0043117, GO:0009636, GO:0009615, GO:0007165"
ccl5,CCL5,"GO:0031584, GO:0006816, GO:0007267, GO:0060326, GO:0006874, GO:0071448, GO:0071230, GO:0071345, GO:0071361, GO:0044344, GO:0071403, GO:0071347, GO:0071396, GO:0071222, GO:0071315, GO:0071560, GO:0071356, GO:0071346, GO:0098586, GO:0071307, GO:0035689, GO:0070098, GO:0006935, GO:0002544, GO:0002407, GO:0018894, GO:0048245, GO:0050673, GO:0006887, GO:0007186, GO:0006955, GO:0006954, GO:0007159, GO:0048247, GO:0048246, GO:0002548, GO:0043922, GO:0070100, GO:0045744, GO:2000110, GO:0070233, GO:0045071, GO:0042119, GO:0030593, GO:0050918, GO:0045766, GO:0009891, GO:0051928, GO:0045785, GO:0033634, GO:0030335, GO:2000343, GO:0002230, GO:0050679, GO:0070374, GO:0031622, GO:0010628, GO:0045745, GO:0043547, GO:0034112, GO:0045089, GO:0010759, GO:0060754, GO:0090026, GO:2000503, GO:0045666, GO:0045672, GO:0042327, GO:0051897, GO:1904894, GO:0014911, GO:0048661, GO:0070234, GO:0010820, GO:2000406, GO:0042102, GO:0032008, GO:0045948, GO:0042531, GO:0045070, GO:0031269, GO:0097696, GO:0002676, GO:0050796, GO:0043067, GO:0050863, GO:0014823, GO:0097305, GO:0009617, GO:0070723, GO:0034097, GO:0043627, GO:0051384, GO:0032868, GO:0032496, GO:0031667, GO:0009651, GO:0009636, GO:0034612, GO:0034341, GO:0009615, GO:0009410, GO:0007165, GO:0035688"
ccl6,CCL6,"GO:0060326, GO:0006955, GO:0007165"
ccl7,CCL7,"GO:0007267, GO:0006874, GO:0071361, GO:0071347, GO:0071356, GO:0071346, GO:0070098, GO:0006935, GO:0007010, GO:0048245, GO:0007186, GO:0006955, GO:0006954, GO:0048247, GO:0002548, GO:0030593, GO:0030335, GO:0070374, GO:0043547, GO:2000503, GO:0008360, GO:0010332, GO:0007165"
ccl8,CCL8,"GO:0061844, GO:0006816, GO:0007267, GO:0060326, GO:0006874, GO:0071347, GO:0071356, GO:0071346, GO:0070098, GO:0006935, GO:0048245, GO:0006887, GO:0007186, GO:0006955, GO:0006954, GO:0031640, GO:0048247, GO:0002548, GO:0044828, GO:0070664, GO:0030593, GO:0070374, GO:0043547, GO:0002687, GO:0045663, GO:1901741, GO:0009615, GO:0007165"
ccl9,CCL9,"GO:0060326, GO:0006955, GO:0045662, GO:0050918, GO:0045672, GO:0007165"
ccn2,CCN2,"GO:0001525, GO:0097553, GO:0001502, GO:0007155, GO:0007160, GO:0016477, GO:0071398, GO:0071333, GO:0035963, GO:0002062, GO:0035988, GO:0061448, GO:0071897, GO:0008544, GO:0070278, GO:0008543, GO:0007229, GO:0035556, GO:0030324, GO:0007019, GO:0010629, GO:0001503, GO:0043065, GO:2001235, GO:0060452, GO:0050867, GO:0045597, GO:0008284, GO:0032967, GO:0070374, GO:0070318, GO:0010628, GO:0046330, GO:0001934, GO:0051496, GO:0072593, GO:0032330, GO:0051239, GO:0043200, GO:0034059, GO:0032355, GO:0070542, GO:0051385, GO:0043434, GO:0009611, GO:0007165, GO:0001894"
ccnd1,CCND1,"GO:0031100, GO:0048593, GO:0051301, GO:0008283, GO:0006974, GO:0030968, GO:0045444, GO:0000082, GO:0007595, GO:0033327, GO:0001889, GO:0097421, GO:0060749, GO:0033598, GO:0044772, GO:0031571, GO:0030857, GO:0043524, GO:0000122, GO:0070050, GO:0030182, GO:0008284, GO:0045737, GO:1900087, GO:0010971, GO:0033601, GO:0001934, GO:0006468, GO:0000320, GO:0051726, GO:0000079, GO:2000045, GO:0061074, GO:0051592, GO:0051412, GO:0032355, GO:0043627, GO:0045471, GO:0051384, GO:0010039, GO:0044321, GO:0032026, GO:0048545, GO:0070141, GO:0033197, GO:0009410, GO:0010165, GO:0016055"
ccnd2,CCND2,"GO:0008344, GO:0051301, GO:0071549, GO:0071372, GO:0071378, GO:0032869, GO:0071394, GO:0071481, GO:0030388, GO:0006003, GO:0000082, GO:0001889, GO:0007616, GO:0044772, GO:0043066, GO:2000726, GO:0045820, GO:0043069, GO:0001541, GO:0060045, GO:0008284, GO:0045737, GO:0045739, GO:0050679, GO:1900087, GO:0001934, GO:0051726, GO:0000079, GO:0045664, GO:0043456, GO:0051591, GO:0032355, GO:0043627, GO:0045471, GO:0032354, GO:0033595, GO:0044752, GO:0043434, GO:0033574, GO:0007283"
ccr2,CCR2,"GO:0001525, GO:0043277, GO:0001974, GO:0019722, GO:0060326, GO:0006874, GO:0006968, GO:0019725, GO:0070098, GO:0006935, GO:0019221, GO:0002407, GO:0007186, GO:0030097, GO:0048873, GO:0006959, GO:0006955, GO:0006954, GO:0002437, GO:0090594, GO:0061756, GO:1905517, GO:0042117, GO:0002548, GO:0035696, GO:0007194, GO:0016525, GO:0043310, GO:0002829, GO:0097350, GO:0046641, GO:2000464, GO:2000451, GO:0120162, GO:0007204, GO:2000473, GO:0090265, GO:0050729, GO:0032743, GO:1903238, GO:0090026, GO:2000439, GO:1904783, GO:1900745, GO:0051968, GO:0050870, GO:0010820, GO:0045627, GO:0002827, GO:2000412, GO:0032760, GO:0032729, GO:0007259, GO:0050727, GO:1905521, GO:0071675, GO:0002724, GO:0045580, GO:2000404, GO:0010574, GO:0055093, GO:0001666, GO:0009611, GO:0019233, GO:0007165, GO:0019827, GO:0035705, GO:0002246"
ccr6,CCR6,"GO:0019722, GO:0060326, GO:0006968, GO:0070098, GO:0006935, GO:0002407, GO:1904155, GO:1904156, GO:0015074, GO:0007186, GO:0006959, GO:0006955, GO:0048290, GO:0002523, GO:0072676, GO:0034453, GO:0007204, GO:2000510, GO:0010634, GO:0060474, GO:2000404, GO:0007165, GO:0072678, GO:0072679"
ccrl2,CCRL2,"GO:0019722, GO:0060326, GO:0070098, GO:0006935, GO:0007186, GO:0006955, GO:0006954, GO:0007204"
cct3,CCT3,"GO:0007339, GO:0061077, GO:0051086, GO:0048048, GO:0046671, GO:1904851, GO:1904871, GO:1904874, GO:0032212, GO:0006457, GO:0050821, GO:0019953"
cct5,CCT5,"GO:0007339, GO:0061077, GO:0051086, GO:1904851, GO:1904871, GO:1904874, GO:0032212, GO:0006457, GO:0050821, GO:0009615, GO:0010842, GO:0019953, GO:0030240"
cd14,CD14,"GO:0006915, GO:0002752, GO:0007166, GO:0071726, GO:0071222, GO:0071223, GO:0071219, GO:0071727, GO:0006954, GO:0045087, GO:0031663, GO:0006909, GO:0001819, GO:0045807, GO:0032757, GO:0031666, GO:1901224, GO:0034145, GO:0032760, GO:0032729, GO:0032481, GO:0006898, GO:0009617, GO:0051602, GO:0045471, GO:0032496, GO:0032026, GO:0002237, GO:0034612, GO:0034142"
cd2,CD2,"GO:0006915, GO:0007155, GO:0098609, GO:0007166, GO:0034113, GO:0001766, GO:0030101, GO:0042267, GO:0032757, GO:0030887, GO:0032760, GO:0032729, GO:0045580, GO:0042110"
cd274,CD274,"GO:0002250, GO:0007166, GO:0071222, GO:0006955, GO:0046007, GO:2000562, GO:2001186, GO:0032693, GO:0002841, GO:0042130, GO:1903556, GO:0032689, GO:1905404, GO:0030335, GO:0045893, GO:0032733, GO:0070234, GO:0042102, GO:0001817, GO:0034097, GO:0007165, GO:0031295, GO:0050852, GO:0035666"
cd36,CD36,"GO:0150094, GO:1990000, GO:0043277, GO:0007596, GO:0007155, GO:0098742, GO:0007166, GO:1904646, GO:0071221, GO:0071726, GO:0071447, GO:0032869, GO:0071222, GO:0071223, GO:0071404, GO:0034599, GO:0140052, GO:0019934, GO:0070508, GO:0030301, GO:0042742, GO:0050830, GO:0048565, GO:0042755, GO:0097009, GO:0006631, GO:0019395, GO:0015908, GO:0006955, GO:0032615, GO:0032635, GO:0050892, GO:0030299, GO:0006629, GO:0019915, GO:0006869, GO:1990379, GO:0042953, GO:0015911, GO:0044539, GO:0001676, GO:0015909, GO:0034383, GO:0055096, GO:0010934, GO:0000165, GO:0001893, GO:0016525, GO:0010629, GO:0042308, GO:0003085, GO:0000122, GO:0038060, GO:0150024, GO:0006911, GO:0006910, GO:0034381, GO:0030194, GO:2000334, GO:0001954, GO:0010886, GO:0120162, GO:0001819, GO:0007204, GO:0070374, GO:0010628, GO:0045725, GO:0043123, GO:0032735, GO:0032731, GO:0032755, GO:0060907, GO:0010744, GO:0043410, GO:0045429, GO:1900227, GO:0050731, GO:0050766, GO:0060100, GO:1903428, GO:2000379, GO:0090208, GO:0032760, GO:0002532, GO:0031623, GO:0006898, GO:0098900, GO:0031664, GO:0043254, GO:2000121, GO:0034121, GO:0014823, GO:0009617, GO:0032355, GO:0070542, GO:0060416, GO:0070543, GO:0033993, GO:0009612, GO:0007584, GO:0034694, GO:0035634, GO:0033552, GO:0009410, GO:0007606, GO:0050909, GO:0015912, GO:0006641, GO:0034197, GO:0032640"
cd40lg,CD40LG,"GO:0030183, GO:0042100, GO:0023035, GO:0071482, GO:0071356, GO:0097028, GO:0007186, GO:0006955, GO:0002377, GO:0006954, GO:0007229, GO:0045190, GO:0007159, GO:0043066, GO:0007602, GO:0030168, GO:0030890, GO:2001200, GO:2000353, GO:0010628, GO:0002839, GO:0002639, GO:0032733, GO:0032735, GO:0032753, GO:0045348, GO:0051092, GO:0042102, GO:0032729, GO:0002637, GO:0033590, GO:1901652, GO:0007165, GO:0031295, GO:0007601"
