# Input,GeneSymbol,GoTermID
actn4,ACTN4,"GO:0030036, GO:0051017, GO:0070830, GO:0010467, GO:0032835, GO:0055001, GO:1900025, GO:0035357, GO:0090521, GO:0030335, GO:0045893, GO:1901224, GO:0048549, GO:0032417, GO:0045944, GO:0098974, GO:1902396, GO:0015031, GO:0042981, GO:0001666, GO:0048384, GO:0033209, GO:0030050"
actr3,ACTR3,"GO:0070358, GO:0034314, GO:0048708, GO:0008356, GO:0071364, GO:0071347, GO:1905835, GO:0071560, GO:0035984, GO:1905837, GO:0071356, GO:0071346, GO:0060271, GO:0007163, GO:0051321, GO:0016344, GO:0033206, GO:0030517, GO:1904171, GO:0030838, GO:0048711, GO:0050775, GO:0061003, GO:0010763, GO:0051491, GO:0010592, GO:0045666, GO:1903078, GO:0090314, GO:0051965, GO:0045944, GO:0099173, GO:0098974, GO:0032956, GO:0043519, GO:0032355, GO:0071503, GO:0061843, GO:0007283, GO:0051653"
adam10,ADAM10,"GO:0034332, GO:0034205, GO:0042987, GO:0007267, GO:0090102, GO:0051089, GO:0038004, GO:0022617, GO:0007229, GO:0001701, GO:0006509, GO:0042117, GO:0007162, GO:0010629, GO:0007220, GO:0007219, GO:0006913, GO:0046931, GO:0043065, GO:0030307, GO:0030335, GO:0008284, GO:0010976, GO:0010820, GO:0099173, GO:0140249, GO:0006468, GO:0016485, GO:0006508, GO:0051128, GO:0061001, GO:0098696, GO:0008593, GO:0045670, GO:0099175, GO:1901342, GO:0097327, GO:0034612, GO:0140448, GO:0007283"
adam8,ADAM8,"GO:0001525, GO:0008150, GO:0043534, GO:0098609, GO:0007160, GO:0000902, GO:0071456, GO:0022617, GO:0007249, GO:0006954, GO:0002523, GO:0048247, GO:0061025, GO:0043524, GO:2000399, GO:0072675, GO:0002675, GO:0045780, GO:0045785, GO:0002693, GO:2000418, GO:0010718, GO:2000415, GO:0050729, GO:0045089, GO:0043410, GO:0051044, GO:2000391, GO:0051897, GO:0010954, GO:0050714, GO:0033089, GO:2000406, GO:0070245, GO:2000309, GO:0006508, GO:0022407, GO:0045670, GO:0023061, GO:0048729"
adamts9,ADAMTS9,"GO:0035909, GO:0048593, GO:0061303, GO:0031018, GO:0090673, GO:0030198, GO:0003179, GO:0002088, GO:0030318, GO:0010596, GO:1903671, GO:1990798, GO:0045636, GO:0015031, GO:0006508, GO:0048070, GO:0009617, GO:0003229, GO:0016192"
adcy5,ADCY5,"GO:0007191, GO:0007189, GO:0007195, GO:0007193, GO:0006171, GO:1904322, GO:0009190, GO:0001973, GO:0007507, GO:0035556, GO:0007626, GO:0032400, GO:0050885, GO:0007204, GO:0061178, GO:0001932, GO:0045471"
adgre5,ADGRE5,"GO:0007189, GO:0008150, GO:0007155, GO:0007267, GO:0007166, GO:0007186, GO:0006955, GO:0006954, GO:0051965"
adipoq,ADIPOQ,"GO:0033211, GO:0050873, GO:0071320, GO:0071872, GO:0032869, GO:0071466, GO:0007623, GO:0070994, GO:0006635, GO:0019395, GO:0010467, GO:0006091, GO:0042593, GO:0006006, GO:0034383, GO:0045776, GO:0030336, GO:0060621, GO:0120163, GO:2000279, GO:0045892, GO:0070373, GO:0045599, GO:0045721, GO:0030853, GO:0034115, GO:0046888, GO:0043124, GO:0050728, GO:0090317, GO:1905598, GO:0010745, GO:0045650, GO:0043407, GO:2000590, GO:0050765, GO:2000584, GO:0010642, GO:0031953, GO:1900121, GO:0048261, GO:0050805, GO:0010804, GO:0032720, GO:1904753, GO:1904706, GO:2000481, GO:0010875, GO:0120162, GO:0045923, GO:0046326, GO:2000467, GO:0043123, GO:0032757, GO:0110113, GO:2000478, GO:0071639, GO:0033034, GO:0050731, GO:0045860, GO:0010739, GO:0001934, GO:2000534, GO:0009967, GO:0072659, GO:0010906, GO:0014823, GO:0009617, GO:0045471, GO:0051384, GO:0009749, GO:0001666, GO:0070543, GO:0007584, GO:0031667, GO:0009744, GO:0034612, GO:0009410, GO:0007165"
adipor2,ADIPOR2,"GO:0033211, GO:0071398, GO:0019395, GO:0007565, GO:0042593, GO:0007507, GO:0009755, GO:0030308, GO:0010629, GO:0061871, GO:0120162, GO:0046326, GO:0001934, GO:0014075, GO:0009617, GO:0045471, GO:0009750, GO:0032496, GO:0007584, GO:0031667, GO:0009410, GO:0061042"
adm,ADM,"GO:0007189, GO:1990410, GO:0008209, GO:0031100, GO:0019731, GO:0061844, GO:0060670, GO:0008283, GO:0071466, GO:0050829, GO:0050830, GO:0048589, GO:0007565, GO:0002031, GO:0007507, GO:0007446, GO:0006954, GO:0008285, GO:0043116, GO:0045906, GO:0001843, GO:0031102, GO:0042475, GO:0045766, GO:0043065, GO:0008284, GO:0007204, GO:0010460, GO:2000184, GO:2001214, GO:0031623, GO:0003073, GO:0002026, GO:0035809, GO:0045472, GO:0051384, GO:0001666, GO:0032868, GO:0032496, GO:0042594, GO:0007165, GO:0060712, GO:0097084, GO:0001570"
